Date,t,Open,High,Low,Close
11/22/2019,2398,7643.57,7697.38,6936.71,7296.58
11/21/2019,2397,8023.64,8110.1,7597.38,7642.75
11/20/2019,2396,8203.61,8237.24,8010.51,8027.27
11/19/2019,2395,8305.13,8408.52,8099.96,8206.15
11/18/2019,2394,8573.98,8653.28,8273.57,8309.29
11/17/2019,2393,8549.47,8727.79,8500.97,8577.98
11/16/2019,2392,8491.17,8592,8473.97,8550.76
11/15/2019,2391,8705.71,8730.87,8484.84,8491.99
11/14/2019,2390,8811.94,8826.94,8692.55,8708.1
11/13/2019,2389,8812.03,8836.84,8761.65,8808.26
11/12/2019,2388,8759.75,8853.77,8685.43,8815.66
11/11/2019,2387,9056.92,9081.28,8700.61,8757.79
11/10/2019,2386,8812.49,9103.83,8806.16,9055.53
11/9/2019,2385,8809.47,8891.82,8793.16,8813.58
11/8/2019,2384,9265.37,9272.76,8775.53,8804.88
11/7/2019,2383,9352.39,9368.48,9202.35,9267.56
11/6/2019,2382,9340.86,9423.24,9305.91,9360.88
11/5/2019,2381,9413,9457.42,9256.93,9342.53
11/4/2019,2380,9235.61,9505.05,9191.49,9412.61
11/3/2019,2379,9324.79,9379.81,9141.25,9235.35
11/2/2019,2378,9259.78,9377.49,9249.59,9324.72
11/1/2019,2377,9193.99,9275.66,9132.05,9261.1
10/31/2019,2376,9202.46,9383.16,9028.72,9199.58
10/30/2019,2375,9422.46,9426.87,9085.37,9205.73
10/29/2019,2374,9248.44,9516.18,9232.65,9427.69
10/28/2019,2373,9565.1,9805.12,9256.15,9256.15
10/27/2019,2372,9241.71,9749.53,9112.54,9551.71
